stock_code,stock_name,股票代码,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期,市盈率-动态,市净率,总市值,流通市值,流通股本(万股)
bj833943,优机股份,833943.0,0.15,182512563.63,20.4844795574,-46.782,15509012.45,99.9,-50.9567,2.51,-0.349235018165,29.1209441547,通用设备,2025-04-28,35.09,3.88,2407071872.0,1228363720.0,51807833.0
bj834014,特瑞斯,834014.0,0.03,97191086.97,-3.9536621307,-56.7004,3213667.11,-48.92,-84.1185,0.39,-0.402114768437,28.5062996657,专用设备,2025-04-28,104.36,1.98,1621559890.0,907392821.0,69638743.0
bj834021,流金科技,834021.0,0.01,63372023.7,-49.0329370605,-72.0083,1674904.24,-32.32,109.0,0.26,-0.182271871064,30.109126119,文化传媒,2025-04-25,911.39,3.31,2113559884.0,1722872682.0,251881971.0
bj834033,康普化学,834033.0,0.08,46583521.46,-29.952564708,1.8396,9849773.54,-56.08,839.278,1.34,0.036984415863,42.124920562,化学制品,2025-04-24,58.21,3.02,2245699463.0,1560044058.0,82760958.0
bj834058,华洋赛车,834058.0,0.21,178481512.27,264.2359483821,70.9309,11515562.96,161.79,57.5561,3.28,-0.005346305609,18.9688764564,交运设备,2025-04-28,27.87,6.14,2047738196.0,1006139769.0,27557923.0
bj834062,科润智控,834062.0,0.06,319598613.52,56.5543720635,-35.8632,11914740.26,234.28,-28.6633,1.57,-0.867785182723,14.5244352717,电网设备,2025-04-29,46.21,2.8,2109736177.0,1492641856.0,133510005.0
bj834261,一诺威,834261.0,0.18,1750756166.43,9.0045269213,-2.1537,52379926.33,27.95,-18.5244,3.35,-0.515321487365,7.1832945079,化学制品,2025-04-25,19.99,2.86,4480532992.0,2630069218.0,170894686.0
bj834407,驰诚股份,834407.0,0.01,37492951.18,15.949626753,-57.9847,967507.76,-81.8,-52.1924,0.37,-0.181966373325,44.4315771251,仪器仪表,2025-04-28,75.45,6.54,1741833600.0,709122258.0,34760895.0
bj834415,恒拓开源,834415.0,-0.01,27743545.97,-16.9971368124,-57.2051,-1691139.03,-154.82,-123.7432,-0.32,-0.093213872827,46.3864812519,软件开发,2025-04-29,396.78,4.64,2473002171.0,1872991842.0,106419991.0
bj834475,三友科技,834475.0,-0.06,38549429.13,-62.065660906,-52.7905,-5739418.25,-260.29,-182.5611,-1.58,0.092311261653,16.0193512832,专用设备,2025-04-25,-156.01,5.43,1923171800.0,800208836.0,42049860.0
bj834599,同力股份,834599.0,0.4095,1536052828.62,28.3432225781,-12.8811,187364327.21,58.45,-43.7681,5.85,-0.587016248183,21.1600469029,工程机械,2025-04-28,14.07,2.93,9042363750.0,6814628464.0,348574352.0
bj834639,晨光电缆,834639.0,0.014,408224910.66,4.6848169275,-24.3283,2802899.49,-85.27,124.2911,0.34,-0.463228109276,10.6653296683,电网设备,2025-04-29,39.94,2.0,1713600000.0,995359631.0,117101133.0
bj834682,球冠电缆,,,,,,,,,,,,,,-,-,-,-,
bj834765,美之高,834765.0,0.0021,115130652.36,-13.9414313869,-22.4403,144981.44,-98.48,-94.9475,0.04,0.143607068669,26.1453222083,装修装饰,2025-04-25,-559.89,6.57,2041820579.0,1283568809.0,56371050.0
bj834770,艾能聚,834770.0,0.04,31354864.79,28.1382219929,13.8327,5107094.25,-21.64,186.9477,0.91,-0.054905431343,44.0022255634,光伏设备,2025-04-28,55.49,4.33,2579219709.0,1623135116.0,81893800.0
bj834950,迅安科技,834950.0,0.2,54302751.07,7.3002219793,0.3946,12340660.97,6.13,-20.0456,3.98,0.042252205892,40.9777197316,电子元件,2025-04-29,30.89,5.13,1547052000.0,781755000.0,37050000.0
bj835174,五新隧装,835174.0,0.36,172569575.11,-10.7693965898,-11.543,32542693.79,-10.08,204.3088,4.17,0.341543014422,33.2403265717,工程机械,2025-04-28,54.84,6.84,5585040952.0,5398397096.0,87000759.0
bj835179,凯德石英,835179.0,0.13,85317542.06,0.8087028903,14.6815,9976972.59,-13.56,191.8138,1.35,-0.031714322667,42.0028752525,玻璃玻纤,2025-04-29,82.57,3.81,2852608500.0,2270099909.0,59660970.0
bj835184,国源科技,835184.0,0.01,54808914.2,-10.6139270195,-21.6351,1847485.15,9.02,156.2254,0.3,-0.144381990098,39.7836601733,软件开发,2025-04-28,204.48,4.65,2860477703.0,1892200964.0,87723735.0
