行业代码,行业名称,上级行业,成份个数,静态市盈率,TTM(滚动)市盈率,市净率,静态股息率
850741.SI,电机Ⅲ,电机Ⅱ,25,68.0,59.87,4.44,0.67
857334.SI,火电设备,其他电源设备Ⅱ,3,34.81,43.83,2.91,0.66
857336.SI,其他电源设备Ⅲ,其他电源设备Ⅱ,24,77.74,69.56,4.37,0.48
857352.SI,光伏电池组件,光伏设备,21,23.76,27.4,2.74,1.69
857354.SI,光伏辅材,光伏设备,17,46.97,90.39,2.99,0.91
857355.SI,光伏加工设备,光伏设备,10,36.24,49.3,5.71,0.66
857362.SI,风电零部件,风电设备,24,66.43,39.04,2.84,0.48
857371.SI,锂电池,电池,26,32.57,25.87,4.21,1.71
857372.SI,电池化学品,电池,42,63.49,55.83,3.24,0.62
857373.SI,锂电专用设备,电池,17,101.65,83.37,4.94,0.29
857375.SI,蓄电池及其他电池,电池,9,28.25,28.79,2.21,1.17
857381.SI,输变电设备,电网设备,26,55.57,44.5,4.26,0.65
857382.SI,配电设备,电网设备,25,26.63,23.96,2.41,2.16
857321.SI,电网自动化设备,电网设备,25,35.61,33.27,4.44,1.49
857323.SI,电工仪器仪表,电网设备,12,24.58,23.66,3.04,1.7
857344.SI,线缆部件及其他,电网设备,35,53.78,53.75,4.03,0.74
850711.SI,机床工具,通用设备,18,61.5,59.12,4.05,0.86
850713.SI,磨具磨料,通用设备,12,91.4,113.8,4.24,0.65
850715.SI,制冷空调设备,通用设备,17,41.94,48.73,3.8,1.19
850716.SI,其他通用设备,通用设备,46,43.92,41.96,4.08,0.82
850731.SI,仪器仪表,通用设备,53,59.71,57.01,4.27,0.75
850751.SI,金属制品,通用设备,71,63.59,60.44,4.45,0.74
850725.SI,能源及重型设备,专用设备,54,32.69,30.79,2.74,1.48
850728.SI,楼宇设备,专用设备,14,26.27,29.73,2.04,2.25
850721.SI,纺织服装设备,专用设备,12,30.74,32.05,3.08,1.34
850726.SI,印刷包装机械,专用设备,10,62.68,43.81,3.3,0.53
850727.SI,其他专用设备,专用设备,79,62.17,54.48,5.56,0.69
850936.SI,轨交设备Ⅲ,轨交设备Ⅱ,31,19.9,17.54,1.41,3.12
850771.SI,工程机械整机,工程机械,19,25.39,21.58,2.26,2.23
850772.SI,工程机械器件,工程机械,9,63.11,55.66,7.31,0.82
850781.SI,机器人,自动化设备,17,92.9,90.5,5.9,0.64
850782.SI,工控设备,自动化设备,27,52.55,49.97,5.01,0.69
